order_id,date,region,store_id,category,product,units,unit_price,revenue,customer_segment,channel,seasonal_factor
ORD-00536998,2022-01-01,Region 38,4,Beauty,Serum,7,36.09,252.63,Retail,Wholesale,1.0
ORD-00757967,2022-01-01,Region 45,260,Apparel,Sneakers,10,42.12,421.2,Enterprise,Retail,1.0
ORD-00570441,2022-01-02,Region 36,389,Electronics,Smartphone,12,472.26,5667.12,SMB,Online Store,1.0
ORD-00120000,2022-01-02,Region 41,151,Home,Blender,16,162.17,2594.72,Wholesale,Retail,1.0
ORD-00389654,2022-01-02,Region 55,517,Sports,Water Bottle,6,78.86,473.16,SMB,Online Store,1.0
ORD-00204280,2022-01-02,Region 43,293,Books,Cookbook,3,26.9,80.7,Wholesale,Retail,1.0
ORD-00310042,2022-01-03,Region 10,323,Sports,Water Bottle,5,107.04,535.2,Enterprise,Online Store,1.0
ORD-00119619,2022-01-04,Region 05,140,Toys,Board Game,1,46.15,46.15,Wholesale,Retail,1.0
ORD-00863388,2022-01-04,Region 31,309,Beauty,Lipstick,12,31.32,375.84,Wholesale,Retail,1.0
ORD-00437248,2022-01-04,Region 15,309,Grocery,Milk Powder,18,19.06,343.08,Wholesale,Wholesale,1.0
ORD-00745783,2022-01-05,Region 37,403,Apparel,Jacket,16,79.68,1274.88,SMB,Online Store,1.0
ORD-00967937,2022-01-05,Region 32,538,Toys,Puzzle,11,40.92,450.12,Retail,Online Store,1.0
ORD-00768102,2022-01-05,Region 34,522,Beauty,Serum,15,33.06,495.9,SMB,Wholesale,1.0
ORD-00911554,2022-01-05,Region 20,514,Books,Journal,6,18.04,108.24,Enterprise,Online Store,1.0
ORD-00899589,2022-01-05,Region 11,473,Home,Curtains,11,165.54,1820.94,SMB,Online Store,1.0
ORD-00646878,2022-01-06,Region 14,167,Apparel,T-Shirt,15,78.95,1184.25,Enterprise,Online Store,1.0
ORD-00769185,2022-01-06,Region 27,4,Toys,Board Game,3,53.55,160.65,Retail,Wholesale,1.0
ORD-00494094,2022-01-06,Region 50,535,Apparel,Jacket,13,52.47,682.11,Wholesale,Wholesale,1.0
ORD-00347117,2022-01-06,Region 18,461,Toys,Board Game,18,29.12,524.16,SMB,Retail,1.0
ORD-00456700,2022-01-07,Region 39,9,Grocery,Cooking Oil,15,27.11,406.65,Retail,Retail,1.0
ORD-00642003,2022-01-07,Region 13,438,Sports,Water Bottle,15,74.51,1117.65,SMB,Online Store,1.0
ORD-00966082,2022-01-07,Region 35,333,Toys,Building Blocks,15,39.44,591.6,SMB,Online Store,1.0
ORD-00922910,2022-01-07,Region 05,241,Beauty,Serum,2,36.29,72.58,SMB,Wholesale,1.0
ORD-00347648,2022-01-07,Region 02,424,Beauty,Lipstick,6,27.25,163.5,Enterprise,Online Store,1.0
ORD-00501230,2022-01-07,Region 50,530,Electronics,Smartphone,1,653.77,653.77,Retail,Retail,1.0
ORD-00317815,2022-01-08,Region 51,475,Home,Blender,15,106.17,1592.55,Wholesale,Wholesale,1.0
ORD-00310670,2022-01-08,Region 25,288,Books,Journal,4,27.43,109.72,Enterprise,Retail,1.0
ORD-00488706,2022-01-08,Region 05,311,Sports,Dumbbells,6,100.97,605.82,SMB,Online Store,1.0
ORD-00665873,2022-01-08,Region 39,512,Books,Journal,14,20.43,286.02,Retail,Retail,1.0
ORD-00739481,2022-01-08,Region 03,409,Books,Textbook,9,32.85,295.65,Wholesale,Wholesale,1.0
ORD-00463475,2022-01-09,Region 17,554,Apparel,Sneakers,2,53.45,106.9,Retail,Retail,1.0
ORD-00918192,2022-01-09,Region 37,517,Home,Curtains,5,117.14,585.7,Enterprise,Retail,1.0
ORD-00519048,2022-01-09,Region 03,265,Sports,Dumbbells,16,104.62,1673.92,Retail,Wholesale,1.0
